S.No,Date,Time,Months,Sample,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,Traffic
85,12/11/2020,Month 15,15,5,2.328,2.505,7.1,4.9,92.9,2.702,2.560,99.88,92.93,92.8,7.6,2.1,2.8,403318
86,12/11/2020,Month 15,15,6,2.324,2.505,7.2,4.9,92.8,2.702,2.560,99.86,92.76,92.6,7.8,2.1,2.8,403318
87,12/11/2020,Month 15,15,7,2.359,2.505,5.8,5.1,94.2,2.711,2.560,99.83,94.16,94.0,6.2,2.3,2.8,403318
88,12/11/2020,Month 15,15,8,2.31,2.505,7.8,5.1,92.2,2.711,2.560,99.81,92.20,92.0,8.4,2.3,2.8,403318
89,12/11/2020,Month 15,15,9,2.38,2.505,5.0,4.8,95,2.697,2.560,99.78,95.00,94.8,5.3,2.1,2.7,403318
90,12/11/2020,Month 15,15,10,2.381,2.505,5.0,4.8,95,2.697,2.560,99.76,95.04,94.8,5.2,2.1,2.7,403318
91,10/12/2020,Month 16,16,1,2.361,2.505,5.7,4.4,94.2,2.679,2.560,99.98,94.25,94.2,6.1,1.8,2.6,431265
92,10/12/2020,Month 16,16,2,2.328,2.505,7.1,4.4,92.9,2.679,2.560,99.95,92.93,92.9,7.6,1.8,2.6,431265
93,10/12/2020,Month 16,16,3,2.358,2.505,5.9,4.9,94.1,2.702,2.560,99.93,94.13,94.1,6.2,2.1,2.8,431265
94,10/12/2020,Month 16,16,4,2.322,2.505,7.3,4.9,92.7,2.702,2.560,99.91,92.69,92.6,7.9,2.1,2.8,431265
95,10/12/2020,Month 16,16,5,2.26,2.505,9.8,4.4,90.2,2.679,2.560,99.89,90.21,90.1,10.8,1.8,2.6,431265
96,10/12/2020,Month 16,16,6,2.385,2.505,4.8,4.4,95.2,2.679,2.560,99.86,95.20,95.1,5.0,1.8,2.6,431265
97,10/12/2020,Month 16,16,7,2.38,2.505,5.0,5.1,95,2.711,2.560,99.83,95.00,94.8,5.3,2.3,2.8,431265
98,10/12/2020,Month 16,16,8,2.369,2.505,5.4,5.1,94.6,2.711,2.560,99.81,94.56,94.4,5.7,2.3,2.8,431265
99,10/12/2020,Month 16,16,9,2.421,2.505,3.4,4.6,96.6,2.688,2.560,99.78,96.64,96.4,3.5,1.9,2.7,431265
100,10/12/2020,Month 16,16,10,2.361,2.505,5.7,4.6,94.2,2.688,2.560,99.76,94.24,94.0,6.1,1.9,2.7,431265
101,7/1/2021,Month 17,17,1,2.337,2.505,6.7,4.5,93.3,2.684,2.560,99.98,93.29,93.3,7.2,1.9,2.6,459348
102,7/1/2021,Month 17,17,2,2.326,2.505,7.1,4.5,92.9,2.684,2.560,99.95,92.85,92.8,7.7,1.9,2.6,459348
103,7/1/2021,Month 17,17,3,2.358,2.505,5.9,4.7,94.1,2.693,2.560,99.93,94.13,94.1,6.2,2.0,2.7,459348
104,7/1/2021,Month 17,17,4,2.342,2.505,6.5,4.7,93.5,2.693,2.560,99.91,93.49,93.4,7.0,2.0,2.7,459348
105,7/1/2021,Month 17,17,5,2.375,2.505,5.2,4.6,94.8,2.688,2.560,99.88,94.80,94.7,5.5,1.9,2.7,459348
106,7/1/2021,Month 17,17,6,2.392,2.505,4.5,4.6,95.5,2.688,2.560,99.86,95.48,95.3,4.7,1.9,2.7,459348
107,7/1/2021,Month 17,17,7,2.345,2.505,6.4,4.8,93.6,2.697,2.560,99.83,93.60,93.4,6.8,2.1,2.7,459348
108,7/1/2021,Month 17,17,8,2.371,2.505,5.3,4.8,94.7,2.697,2.560,99.81,94.64,94.5,5.6,2.1,2.7,459348
109,11/2/2021,Month 18,18,1,2.31,2.505,7.8,5,92.2,2.706,2.560,99.98,92.21,92.2,8.4,2.2,2.8,487567
110,11/2/2021,Month 18,18,2,2.301,2.505,8.1,4.8,91.9,2.697,2.560,99.95,91.85,91.8,8.9,2.1,2.7,487567
111,11/2/2021,Month 18,18,3,2.392,2.505,4.5,4.9,95.5,2.702,2.560,99.93,95.49,95.4,4.7,2.1,2.8,487567
112,11/2/2021,Month 18,18,4,2.388,2.505,4.7,4.6,95.3,2.688,2.560,99.90,95.32,95.2,4.9,1.9,2.7,487567
113,11/2/2021,Month 18,18,5,2.317,2.505,7.5,4.9,92.5,2.702,2.560,99.88,92.49,92.4,8.1,2.1,2.8,487567
114,11/2/2021,Month 18,18,6,2.338,2.505,6.7,4.8,93.3,2.697,2.560,99.86,93.32,93.2,7.1,2.1,2.7,487567
115,11/2/2021,Month 18,18,7,2.377,2.505,5.1,4.9,94.9,2.702,2.560,99.83,94.88,94.7,5.4,2.1,2.8,487567
116,11/2/2021,Month 18,18,8,2.338,2.505,6.7,4.9,93.3,2.702,2.560,99.81,93.32,93.1,7.1,2.1,2.8,487567
117,11/2/2021,Month 18,18,9,2.4,2.505,4.2,4.7,95.8,2.693,2.560,99.78,95.80,95.6,4.4,2.0,2.7,487567
118,11/2/2021,Month 18,18,10,2.35,2.505,6.2,4.9,93.8,2.702,2.560,99.76,93.80,93.6,6.6,2.1,2.8,487567
119,11/2/2021,Month 18,18,11,2.348,2.505,6.3,5,93.7,2.706,2.560,99.74,93.72,93.5,6.7,2.2,2.8,487567
120,11/2/2021,Month 18,18,12,2.358,2.505,5.9,4.8,94.1,2.697,2.560,99.71,94.11,93.8,6.2,2.1,2.7,487567
121,18-03-2021,Month 19,19,1,2.389,2.505,4.6,4.2,95.4,2.671,2.560,99.98,95.37,95.3,4.9,1.7,2.5,515924
122,18-03-2021,Month 19,19,2,2.342,2.505,6.5,4.4,93.5,2.680,2.560,99.95,93.49,93.4,7.0,1.8,2.6,515924
123,18-03-2021,Month 19,19,3,2.348,2.505,6.3,4.6,93.7,2.688,2.560,99.93,93.73,93.7,6.7,1.9,2.7,515924
124,18-03-2021,Month 19,19,4,2.353,2.505,6.1,4.6,93.9,2.686,2.560,99.91,93.93,93.8,6.5,1.9,2.6,515924
125,18-03-2021,Month 19,19,5,2.358,2.505,5.9,4.6,94.1,2.686,2.560,99.88,94.12,94.0,6.2,1.9,2.6,515924
126,18-03-2021,Month 19,19,6,2.375,2.505,5.2,4.6,94.8,2.687,2.560,99.86,94.80,94.7,5.5,1.9,2.7,515924
127,18-03-2021,Month 19,19,7,2.351,2.505,6.1,4.6,93.9,2.688,2.560,99.83,93.84,93.7,6.5,1.9,2.7,515924
128,18-03-2021,Month 19,19,8,2.337,2.505,6.7,4.6,93.3,2.690,2.560,99.81,93.28,93.1,7.2,2.0,2.7,515924
129,18-03-2021,Month 19,19,9,2.347,2.505,6.3,4.6,93.7,2.690,2.560,99.79,93.68,93.5,6.7,2.0,2.7,515924
130,18-03-2021,Month 19,19,10,2.344,2.505,6.4,4.5,93.6,2.685,2.560,99.76,93.56,93.3,6.9,1.9,2.6,515924
131,18-03-2021,Month 19,19,11,2.359,2.505,5.8,4.9,94.2,2.701,2.560,99.74,94.16,93.9,6.2,2.1,2.8,515924
132,18-03-2021,Month 19,19,12,2.351,2.505,6.1,4.6,93.9,2.688,2.560,99.72,93.83,93.6,6.5,1.9,2.7,515924
133,7/10/2021,Month 23,23,1,2.297,2.505,8.3,4.8,94.9,2.696,2.560,99.98,91.70,91.7,8.7,2.1,2.7,630739
134,7/10/2021,Month 23,23,2,2.343,2.505,6.5,4.9,95.9,2.700,2.560,99.95,93.53,93.5,6.7,2.1,2.8,630739
135,7/10/2021,Month 23,23,3,2.355,2.505,6.0,5.0,96.9,2.704,2.560,99.93,94.02,94.0,6.2,2.2,2.8,630739
136,7/10/2021,Month 23,23,4,2.429,2.505,3.0,4.9,97.9,2.700,2.560,99.90,96.98,96.9,3.1,2.1,2.8,630739
137,7/10/2021,Month 23,23,5,2.388,2.505,4.7,5.0,98.9,2.706,2.560,99.88,95.33,95.2,4.7,2.2,2.8,630739
