S.No,Date,Time,Sample,Month,Pagg,Gmb,Gmm,"Air-voids, Va",Binder Content,Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Pba,Pbe,"Traffic, msa"
149,2021/08/10,Month 24,9,24,95.1,2.367,2.505,5.5,4.9,94.5,2.607,2.560,12.06,54.32,6.6,5.8,0.7,4.2,0.6598
150,2021/08/10,Month 24,10,24,95.1,2.348,2.505,6.3,4.9,93.7,2.607,2.560,12.77,50.90,6.5,6.7,0.7,4.2,0.6598
151,2021/09/15,Month 25,1,25,95.6,2.358,2.505,5.9,4.4,94.1,2.607,2.560,11.93,50.83,6.1,6.2,0.7,3.7,0.6890
152,2021/09/15,Month 25,2,25,95.5,2.367,2.505,5.5,4.5,94.5,2.607,2.560,11.69,52.87,6.2,5.8,0.7,3.8,0.6890
153,2021/09/15,Month 25,3,25,95.4,2.389,2.505,4.6,4.6,95.4,2.607,2.560,10.96,57.76,6.3,4.9,0.7,3.9,0.6890
154,2021/09/15,Month 25,4,25,95.4,2.344,2.505,6.4,4.6,93.6,2.607,2.560,12.64,49.15,6.2,6.9,0.7,3.9,0.6890
155,2021/09/15,Month 25,5,25,95.4,2.368,2.505,5.5,4.6,94.5,2.607,2.560,11.75,53.44,6.3,5.8,0.7,3.9,0.6890
156,2021/09/15,Month 25,6,25,95.4,2.373,2.505,5.3,4.6,94.7,2.607,2.560,11.56,54.41,6.3,5.6,0.7,3.9,0.6890
157,2021/09/15,Month 25,7,25,95.4,2.352,2.505,6.1,4.6,93.9,2.607,2.560,12.34,50.51,6.2,6.5,0.7,3.9,0.6890
158,2021/09/15,Month 25,8,25,95.5,2.357,2.505,5.9,4.5,94.1,2.607,2.560,12.06,51.02,6.2,6.3,0.7,3.8,0.6890
159,2021/09/15,Month 25,9,25,95.1,2.369,2.505,5.4,4.9,94.6,2.607,2.560,11.99,54.70,6.6,5.7,0.7,4.2,0.6890
160,2021/09/15,Month 25,10,25,95.6,2.372,2.505,5.3,4.4,94.7,2.607,2.560,11.41,53.47,6.1,5.6,0.7,3.7,0.6890
161,2021/10/22,Month 26,1,26,95.5,2.372,2.505,5.3,4.5,94.7,2.607,2.560,11.50,53.85,6.2,5.6,0.7,3.8,0.7183
162,2021/10/22,Month 26,2,26,95.5,2.349,2.505,6.2,4.5,93.8,2.607,2.560,12.36,49.62,6.1,6.6,0.7,3.8,0.7183
163,2021/10/22,Month 26,3,26,95.6,2.367,2.505,5.5,4.4,94.5,2.607,2.560,11.60,52.50,6.1,5.8,0.7,3.7,0.7183
164,2021/10/22,Month 26,4,26,95.6,2.355,2.505,6.0,4.4,94.0,2.607,2.560,12.05,50.29,6.1,6.4,0.7,3.7,0.7183
165,2021/10/22,Month 26,5,26,95.5,2.356,2.505,5.9,4.5,94.1,2.607,2.560,12.10,50.84,6.2,6.3,0.7,3.8,0.7183
166,2021/10/22,Month 26,6,26,95.5,2.388,2.505,4.7,4.5,95.3,2.607,2.560,10.91,57.18,6.2,4.9,0.7,3.8,0.7183
167,2021/10/22,Month 26,7,26,95.4,2.378,2.505,5.1,4.6,94.9,2.607,2.560,11.37,55.42,6.3,5.3,0.7,3.9,0.7183
168,2021/10/22,Month 26,8,26,95.4,2.353,2.505,6.1,4.6,93.9,2.607,2.560,12.30,50.69,6.2,6.5,0.7,3.9,0.7183
169,2021/10/22,Month 26,9,26,95.6,2.365,2.505,5.6,4.4,94.4,2.607,2.560,11.67,52.12,6.1,5.9,0.7,3.7,0.7183
170,2021/10/22,Month 26,10,26,95.6,2.374,2.505,5.2,4.4,94.8,2.607,2.560,11.34,53.87,6.1,5.5,0.7,3.7,0.7183
171,2021/11/26,Month 27,1,27,95.4,2.375,2.505,5.2,4.6,94.8,2.607,2.560,11.48,54.81,6.3,5.5,0.7,3.9,0.7478
