S.No,Date,Time,,Sample,Pagg,Gmb,Gmm,"Air Voids, Va",Binder Content (%),Density,Gse,Gsb,VMA,VFB,Vbe,VMB,Film thickness,Traffic,,,,,,,S.No,Date,Time,Sample,Gmb,Gmm,"Air Voids,",Binder Content (%),Density
63,,,23,2,94.0,2.251,2.395,6.0,4.8,94.0,2.564,2.707,21.84,72.49,15.8,6.4,8.70,0.12972,,,,,,,62,7/10/2021,Month 23,1,,2.395,,4.8,
64,,,23,3,93.8,2.247,2.395,6.2,4.8,93.8,2.563,2.707,22.15,72.03,16.0,6.6,8.70,0.19513,,,,,,,63,,,2,2.251,2.395,6.0,4.8,94.0
65,,,23,4,93.1,2.230,2.395,6.9,4.8,93.1,2.563,2.707,23.30,70.43,16.4,7.4,8.70,0.26091,,,,,,,64,,,3,2.247,2.395,6.2,4.8,93.8
66,,,23,5,95.9,2.297,2.395,4.1,4.9,95.9,2.568,2.707,18.65,77.96,14.5,4.3,8.70,0.32706,,,,,,,65,,,4,2.230,2.395,6.9,4.8,93.1
67,8/10/2021,Month 24,24,1,94.0,2.308,2.455,6.0,5.3,94.0,2.659,2.707,19.87,69.80,13.9,6.4,8.70,0.06468,,,,,,,,,,std,0.01,,0.47,0.02,0.47
68,,,24,2,90.0,2.210,2.455,10.0,5.2,90.0,2.652,2.707,26.54,62.33,16.5,11.1,8.70,0.12972,,,,,,,67,8/10/2021,Month 24,1,2.308,2.455,6.0,5.32,94.0
69,,,24,3,96.4,2.368,2.455,3.6,5.2,96.4,2.652,2.707,15.65,77.27,12.1,3.7,8.70,0.19513,,,,,,,68,,,2,,2.455,,5.17,
70,,,24,4,94.2,2.312,2.455,5.8,5.0,94.2,2.646,2.707,19.59,70.20,13.8,6.2,8.70,0.26091,,,,,,,69,,,3,2.368,2.455,3.6,5.17,96.4
71,,,24,5,92.2,2.262,2.455,7.8,4.5,92.2,2.623,2.707,22.99,65.86,15.1,8.5,8.70,0.32706,,,,,,,70,,,4,2.312,2.455,5.8,5.02,94.2
72,9/15/2021,Month 25,25,1,95.8,2.294,2.395,4.2,4.8,95.8,2.562,2.707,18.81,77.65,14.6,4.4,8.70,0.06468,,,,,,,,,,std,0.03,,1.37,0.12,1.37
73,,,25,2,96.7,2.316,2.395,3.3,5.0,96.7,2.571,2.707,17.26,80.91,14.0,3.4,8.70,0.12972,,,,,,,72,9/15/2021,Month 25,1,2.294,2.395,4.2,4.75,95.8
74,,,25,3,93.7,2.244,2.395,6.3,5.1,93.7,2.576,2.707,22.32,71.78,16.0,6.7,8.70,0.19513,,,,,,,73,,,2,2.316,2.395,3.3,4.97,96.7
75,,,25,4,96.4,2.310,2.395,3.6,5.0,96.4,2.571,2.707,17.72,79.90,14.2,3.7,8.70,0.26091,,,,,,,74,,,3,2.244,2.395,6.3,5.11,93.7
76,,,25,5,96.2,2.304,2.395,3.8,4.9,96.2,2.570,2.707,18.13,79.01,14.3,4.0,8.70,0.32706,,,,,,,75,,,4,2.310,2.395,3.6,4.97,96.4
77,10/22/2021,Month 26,26,1,95.8,2.353,2.455,4.2,4.9,95.8,2.641,2.707,16.69,75.10,12.5,4.3,8.70,0.06468,,,,,,,,,,std,0.03,,1.36,0.15,1.36
78,,,26,2,95.1,2.335,2.455,4.9,4.9,95.1,2.641,2.707,17.96,72.78,13.1,5.1,8.70,0.12972,,,,,,,77,10/22/2021,Month 26,1,2.353,2.455,4.2,,95.8
79,,,26,3,91.6,2.248,2.455,8.4,4.9,91.6,2.641,2.707,23.97,64.80,15.5,9.2,8.70,0.19513,,,,,,,78,,,2,2.335,2.455,4.9,,95.1
80,,,26,4,92.0,2.258,2.455,8.0,4.9,92.0,2.641,2.707,23.30,65.51,15.3,8.7,8.70,0.26091,,,,,,,79,,,3,,2.455,,,
81,,,26,5,92.9,2.280,2.455,7.1,5.0,92.9,2.643,2.707,21.75,67.30,14.6,7.7,8.70,0.32706,,,,,,,80,,,4,,2.455,,4.9,
82,,,26,6,94.6,2.323,2.455,5.4,5.0,94.6,2.643,2.707,18.83,71.36,13.4,5.7,8.70,0.39359,,,,,,,81,,,5,,2.455,,5.0,
83,,,26,7,96.3,2.364,2.455,3.7,4.9,96.3,2.642,2.707,15.89,76.74,12.2,3.8,8.70,0.46049,,,,,,,82,,,6,2.323,2.455,5.4,5.0,94.6
84,,,26,8,95.8,2.352,2.455,4.2,4.9,95.8,2.642,2.707,16.74,75.01,12.6,4.4,8.70,0.52777,,,,,,,83,,,7,2.364,2.455,3.7,4.9,96.3
85,11/26/2021,Month 27,27,1,97.9,2.344,2.395,2.1,4.9,97.9,2.568,2.707,15.25,86.06,13.1,2.2,8.70,0.06468,,,,,,,,,,std,0.02,,0.76,0.02,0.76
86,,,27,2,96.3,2.305,2.395,3.7,4.9,96.3,2.568,2.707,18.02,79.25,14.3,3.9,8.70,0.12972,,,,,,,85,11/26/2021,Month 27,1,,2.395,,4.9,
87,,,27,3,94.9,2.274,2.395,5.1,4.8,94.9,2.566,2.707,20.27,75.00,15.2,5.3,8.70,0.19513,,,,,,,86,,,2,,2.395,,4.9,
88,,,27,4,95.3,2.283,2.395,4.7,4.8,95.3,2.566,2.707,19.62,76.14,14.9,4.9,8.70,0.26091,,,,,,,87,,,3,2.274,2.395,5.1,4.8,94.9
89,,,27,5,94.4,2.261,2.395,5.6,4.9,94.4,2.568,2.707,21.18,73.51,15.6,5.9,8.70,0.32706,,,,,,,88,,,4,2.283,2.395,4.7,4.8,95.3
90,,,27,6,93.7,2.244,2.395,6.3,4.9,93.7,2.568,2.707,22.34,71.75,16.0,6.7,8.70,0.39359,,,,,,,89,,,5,2.261,2.395,5.6,4.9,94.4
91,,,27,7,94.8,2.271,2.395,5.2,4.9,94.8,2.568,2.707,20.44,74.70,15.3,5.5,8.70,0.46049,,,,,,,90,,,6,2.244,2.395,6.3,,93.7
92,,,27,8,95.5,2.287,2.395,4.5,4.9,95.5,2.568,2.707,19.36,76.60,14.8,4.7,8.70,0.52777,,,,,,,91,,,7,2.271,2.395,5.2,,94.8
93,7/5/2021,Month 35,35,1,99.3,2.438,2.455,0.7,5.1,99.3,2.649,2.707,10.57,93.42,9.9,0.7,8.70,0.06468,,,,,,,,,,std,0.01,,0.62,0.04,0.62
94,,,35,2,94.2,2.256,2.395,5.8,4.7,94.2,2.560,2.707,21.47,73.05,15.7,6.1,8.70,0.12972,,,,,,,,7/5/2021,Month 35,,,2.455,,,
95,,,35,3,95.5,2.288,2.395,4.5,4.7,95.5,2.560,2.707,19.23,76.84,14.8,4.7,8.70,0.19513,,,,,,,,,,,2.256,2.395,5.8,,
96,,,35,4,96.8,2.319,2.395,3.2,4.9,96.8,2.568,2.707,17.05,81.40,13.9,3.3,8.70,0.26091,,,,,,,,,,,2.288,2.395,4.5,,
97,,,35,5,96.6,2.314,2.395,3.4,4.9,96.6,2.568,2.707,17.44,80.50,14.0,3.5,8.70,0.32706,,,,,,,,,,,2.319,2.395,3.2,,
98,,,35,6,95.3,2.283,2.395,4.7,5.0,95.3,2.572,2.707,19.64,76.10,14.9,4.9,8.70,0.39359,,,,,,,,,,,2.314,2.395,3.4,,
99,,,35,7,95.0,2.333,2.455,5.0,5.0,95.0,2.645,2.707,18.08,72.58,13.1,5.2,8.70,0.46049,,,,,,,,,,,2.283,2.395,4.7,,
100,,,35,8,95.7,2.349,2.455,4.3,4.6,95.7,2.628,2.707,16.98,74.56,12.7,4.5,8.70,0.52777,,,,,,,,,,,2.333,2.455,5.0,,
101,,,35,9,96.8,2.319,2.395,3.2,4.6,96.8,2.556,2.707,17.04,81.43,13.9,3.3,8.70,0.59543,,,,,,,,,,,2.349,2.455,4.3,,
102,,,35,10,96.2,2.303,2.395,3.8,4.8,96.2,2.564,2.707,18.21,78.86,14.4,4.0,8.70,0.66348,,,,,,,,,,,2.319,2.395,3.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.303,2.395,3.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avg,2.307,,4.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,std,0.03,,0.89,,
